Fp12_delta_psd,Fp12_theta_psd,Fp12_alpha_psd,Fp12_beta_psd,Fp12_gamma_psd,F34_delta_psd,F34_theta_psd,F34_alpha_psd,F34_beta_psd,F34_gamma_psd,C34_delta_psd,C34_theta_psd,C34_alpha_psd,C34_beta_psd,C34_gamma_psd,P34_delta_psd,P34_theta_psd,P34_alpha_psd,P34_beta_psd,P34_gamma_psd,O12_delta_psd,O12_theta_psd,O12_alpha_psd,O12_beta_psd,O12_gamma_psd,F78_delta_psd,F78_theta_psd,F78_alpha_psd,F78_beta_psd,F78_gamma_psd,T34_delta_psd,T34_theta_psd,T34_alpha_psd,T34_beta_psd,T34_gamma_psd,T56_delta_psd,T56_theta_psd,T56_alpha_psd,T56_beta_psd,T56_gamma_psd,Class
0.12375071877351529,0.06834204764085963,0.031079972184663372,0.029285285713886,0.0020781035633751447,0.015802063004782596,0.001965304994738404,0.0006446514939816572,0.017271389131430975,0.001386157198910925,0.020082981853836057,0.014871375471912723,0.014204706287834129,0.027177424303509598,0.0015150496186722255,0.05493312973952896,0.01972113959176114,0.0019470649027876763,0.04039662437400644,0.00218442352339227,0.00837805925618329,0.061382169372106,0.028789547821062012,0.033350953669494816,0.0022784343419801436,0.1224064901912254,0.011596005050854924,0.00213910631390192,0.10806001959219243,0.010592453911979565,0.03599258563792784,0.013396634139766217,0.021339765901582153,0.05451913907241564,0.005343417074410315,0.08728586576729014,0.004039655607710746,0.08493678717265252,0.006098592859396179,0.0006618560809519445,0
0.0027290294419237693,0.005600843948052353,0.004403898224196123,0.006473081762441917,0.0012103435514580138,0.011704292936678296,0.04237575323572852,0.003360899388960989,0.015393193509670444,0.0005773220704381552,0.15320006134657183,0.12402091738710017,0.0561047136842113,0.09440449624095018,0.012138481374658958,0.023670575560078455,0.0003106715190297482,0.0119699928900516,0.0041278891418282115,0.002545239482925229,0.0608197928902936,0.040446675681523936,0.0008888110502239949,0.023283050889705614,0.005405414354455287,0.0043347983982168214,0.013614280452469568,0.00077905189125798,0.004977900676621377,0.007863785855425597,0.12156337164570935,0.03982454702240955,0.025643995300649446,0.03527223146196748,0.008320277121345254,0.03814471840189282,0.010119322406531378,0.019203439068427253,0.008068862561720722,0.001212368221020858,0
0.1581815983784024,0.06625067484450933,0.043933071924278394,0.0437455669574343,0.0023755230167249396,0.13231152675631253,0.007418807399869554,0.049371804353511156,0.07463676172548993,0.003242728985043738,0.14480345716744653,0.01975709505365192,0.06626135907519817,0.061422829049341404,0.00372421923531939,0.07940498380128014,0.02761483000006147,0.032184511719284395,0.027449572991617932,0.0006949572670447868,0.07603242763213003,0.04402999356094872,0.018395032532591997,0.013739815741989903,0.00021161439948524322,0.010207287198691573,0.019368388990911103,0.01212212709378134,0.003126052284407488,0.0006809801077253385,0.04090247312998463,0.021361973595228012,0.0036841587420049365,0.010336251018854714,0.003207867471066876,0.10943065217702519,0.01784112794044207,0.050853407856540744,0.05858600347612876,0.005812200264611066,0
0.007346431612651361,0.019825837481372344,0.003315713851100209,0.013400425343839083,0.0018474340356158321,0.02804074042882243,0.045275732301590155,0.013800095160388395,0.010313387695712661,0.002207919327551844,0.10956369812171829,0.0578184613268065,0.07758731126357422,0.0006094622531616495,0.0013663249575857237,0.11927264026315987,0.05474324885127821,0.11457953247151142,0.020969852367273667,0.004690108005722605,0.11805861711628984,0.04425973412996466,0.026356765905702753,0.12253669394095708,0.012272404027155964,0.07969634679595783,0.055493021285695,0.027874152603496724,0.023817316635984118,0.0033835906508993523,0.14033808701898276,0.08269965095810991,0.10257083051891527,0.009788695758726498,0.0012729888863228563,0.08555366342982917,0.05460643502892505,0.07486209611905281,0.019923655158007286,0.003769101302508613,0
0.00832032250910153,0.006616691062716215,0.005788631580767065,0.002486203681126507,7.573478746953233e-05,0.03333624721250261,0.025992162932939225,0.014838946195058787,0.0005369666556769327,0.0009491027508991066,0.040041074500964835,0.028184727125035003,0.01563340476380759,0.00048358355024853694,0.0003504143506571223,0.06390926165548416,0.02352609309962092,0.027847718990011663,0.011644479085670546,0.00041911311057400984,0.09203161522051351,0.030084628004150467,0.024252067300591068,0.030623961224832602,0.0027261570989457152,0.03298992343094387,0.025971525525486663,0.012867256760056248,0.0030810910311207425,0.00034870990056340857,0.07370155763594821,0.03779267492559209,0.03548570512610036,0.007619994872270136,0.0012693055249260654,0.08079383037718346,0.030856295476553018,0.039142334646940266,0.013825019395533801,0.0003820900885982486,0
0.013368650359137257,0.013057736483781834,0.007634227311592703,0.0046863886956399065,0.001090070989817898,0.0635236188545163,0.006325305310118073,0.057073700417528295,0.0031496737725422858,0.00029054532286410147,0.16214841375487743,0.057222610217304806,0.10911385423244607,0.07228018140584624,0.003450540980843472,0.2928002956386855,0.08790832980961547,0.17338007603539968,0.1051280024730745,0.006434494747907798,0.09660522833372359,0.04173921041307299,0.05140508646750422,0.0839730187029126,0.00998071270876836,0.26628164347948025,0.035056500261136034,0.13255879140145058,0.1445280218721253,0.011270259187317682,0.17503759831732124,0.059068237312766045,0.060252199596630585,0.05374357375700646,0.0021975026183912935,0.056281337442875,0.007142465564415945,0.010588693260374593,0.048322296441107804,0.003436631404132834,0
0.003840999089312014,0.0013153117375497153,0.0013478586925621565,0.0020109609956422293,0.0001260238382278913,0.02044223243352572,0.00922226573378751,0.0058275872978544516,0.005575066008061281,0.00011602229529348099,0.005991803307086041,0.011249327027716402,0.006517264163557572,0.01942545271708894,0.004388614608155593,0.018907627116315773,0.005993940500621436,0.004137611400477387,0.03545095815476264,0.007513095655829985,0.12400900786726554,0.00023706106362283985,0.041566399860344994,0.08274693677601351,0.012903848210204152,0.05897602948562841,0.00793104254621596,0.006636035244718487,0.053680533091736794,0.008695417150159278,0.2193387423494192,0.027885342525467247,0.002938077935836801,0.21698413289031993,0.040549449917556483,0.1483619191691946,0.0007040157747653375,0.009509183729730142,0.14568904504704183,0.0246691303790835,0
0.003440395979102062,0.003410693166656445,0.0011100739166669798,0.002325634021031862,1.7561584132759337e-05,0.020035312354162782,0.014382932352766192,0.007099544396456173,0.014732555949478358,0.0007998843864641704,0.0726525184040907,0.016980024223989976,0.012718704643706072,0.06274850559251245,0.007606692479215032,0.13547286263019498,0.022350543201816814,0.029293615846431878,0.1162251945049088,0.009304668480888161,0.13915908252694376,0.0026365505840093423,0.04588192113665992,0.11223770420554302,0.007786089183492242,0.009494404854497263,0.013895454794305304,0.004067104864283945,0.009936261899500212,0.0013183355913896693,0.04010553517291027,0.028795649133048773,0.020177107166887323,0.013523687875319504,0.004290630324139399,0.19673120299415958,0.015018796609222396,0.029547777738870212,0.17888695405598587,0.011335444795172995,0
0.050837936125370686,0.0032952696266381754,0.0075315599965658925,0.0395128721089464,0.008122917866303299,0.0004619913470540471,0.007885904575378688,0.0056066589261771355,0.014510799599482455,0.0005404654198213482,0.032123568395469204,0.00244787172019445,0.006370620669338342,0.0293772803605519,0.011425204159262452,0.04749764970987835,0.01861912366728445,0.012506949822626817,0.05728689263280473,0.020579843001911784,0.032535953553795516,0.05759321636411764,0.043611368033013215,0.04950814545965965,0.019064893946523668,0.03581061822851411,0.0016317217889423724,0.003387722172669305,0.034766868650958405,0.00802060023806224,0.056924650319727266,0.02320093692980832,0.004647532738434129,0.03305540983588379,0.004644225284292945,0.014508021097055734,0.023524866315376466,0.021246392256751886,0.039497303313812904,0.01890008334577721,0
0.01647603581990531,0.010428407046444793,0.0022064623586210697,0.01712088850180729,0.001862851303331847,0.03720609916387063,0.033291388444806724,0.014041820823744666,0.002322013959692809,0.0004366816321873927,0.011476977473544092,0.057163238277804757,0.04710539304769046,0.011843417334096787,0.0001784797705516,0.11894106089570244,0.05841315898177421,0.05113473733094551,0.024970331562165785,4.827270187389432e-05,0.19199788734228473,0.048834586707743516,0.06149845232902623,0.08970185617248419,0.006434852664194941,0.01681212187901293,0.03936712198084988,0.043648779713830174,0.00641534171815393,0.0002674784811305922,0.04013656744680988,0.05450386807895616,0.004383656115231116,0.007267805665951893,0.0001652686761707471,0.128180034089952,0.06997404714752539,0.05152679581312061,0.02703907544652462,0.0005109950800557201,0
