Fp1_delta_e,Fp1_theta_e,Fp1_alpha_e,Fp1_beta_e,Fp1_gamma_e,Fp2_delta_e,Fp2_theta_e,Fp2_alpha_e,Fp2_beta_e,Fp2_gamma_e,F3_delta_e,F3_theta_e,F3_alpha_e,F3_beta_e,F3_gamma_e,F4_delta_e,F4_theta_e,F4_alpha_e,F4_beta_e,F4_gamma_e,C3_delta_e,C3_theta_e,C3_alpha_e,C3_beta_e,C3_gamma_e,C4_delta_e,C4_theta_e,C4_alpha_e,C4_beta_e,C4_gamma_e,P3_delta_e,P3_theta_e,P3_alpha_e,P3_beta_e,P3_gamma_e,P4_delta_e,P4_theta_e,P4_alpha_e,P4_beta_e,P4_gamma_e,O1_delta_e,O1_theta_e,O1_alpha_e,O1_beta_e,O1_gamma_e,O2_delta_e,O2_theta_e,O2_alpha_e,O2_beta_e,O2_gamma_e,F7_delta_e,F7_theta_e,F7_alpha_e,F7_beta_e,F7_gamma_e,F8_delta_e,F8_theta_e,F8_alpha_e,F8_beta_e,F8_gamma_e,T3_delta_e,T3_theta_e,T3_alpha_e,T3_beta_e,T3_gamma_e,T4_delta_e,T4_theta_e,T4_alpha_e,T4_beta_e,T4_gamma_e,T5_delta_e,T5_theta_e,T5_alpha_e,T5_beta_e,T5_gamma_e,T6_delta_e,T6_theta_e,T6_alpha_e,T6_beta_e,T6_gamma_e,Class
0.8781004243474516,0.12720936684428305,0.01582002148090427,0.005653380194178739,0.00035401864103010004,0.7402342603052089,0.17409942031443093,0.0644150855799793,0.03724839141608327,0.002447963121099551,0.6772439108088861,0.14365231471473344,0.11014454031728467,0.06809525669814075,0.004528549109656152,0.6665256928846949,0.13686665735796397,0.11592623497467455,0.08197656616139944,0.005098981217091802,0.6290120617629369,0.15150098340758023,0.14116908998211403,0.08112448142396118,0.00622490423020824,0.6311701658913068,0.16801630145103508,0.11334425156260103,0.09285890177953135,0.006421828822186308,0.6042455529061181,0.1481204268055523,0.16908071898159083,0.08781653739304861,0.0045566585591189064,0.5831514356971863,0.1617809766523393,0.15243038813467907,0.10914927047445544,0.005596577765927611,0.785917290915354,0.12694123920623349,0.047072756232198705,0.03887754525570039,0.0021530497534667107,0.7801624435069514,0.19978753764007928,0.01944666564166713,0.008281202649717219,0.00047466382681919054,0.5871763286382209,0.17211482166561598,0.12930734064042756,0.1066376718938432,0.008595218390966579,0.5048965899311009,0.14861680145529468,0.12259769197452705,0.21869990789906837,0.02041629098738794,0.6265948258091368,0.1820571220616065,0.12928645220621882,0.0642196348251296,0.004093336312015526,0.6249931070222288,0.17820119625025002,0.10766163589172292,0.09792904202203394,0.007816740353081235,0.5962872333057405,0.15799309119398633,0.1617746703022002,0.09213127760499577,0.005365706082515527,0.6699764309184892,0.1729889042546509,0.09840407622625051,0.07220335229434645,0.0033809607062114024,0
0.730131578855086,0.12196716377502724,0.03719066463718719,0.03641837156452686,0.0039123595059638505,0.7452228638319965,0.10760576021720523,0.03190182559961734,0.03860555562177186,0.004476418305164601,0.6543170458616523,0.11244636980976642,0.05319995329348,0.09066352985397547,0.009347821325284453,0.5331273842155033,0.15240970174375973,0.0846236179742126,0.11548696654397865,0.013143835158464418,0.5012781710122166,0.008850280194321635,0.004745582190788335,0.007239503855698615,0.0010184786385257156,0.47638272354910144,0.12830389072973708,0.09821595682466606,0.14912579352616198,0.021231610254670207,0.5516478936018905,0.11612529487133585,0.0822816507771767,0.12225983937754127,0.014581756072325381,0.5518367375644733,0.12478423870841802,0.08967095812613018,0.11076876164120641,0.014208429674795896,0.6190713738014251,0.1133665287987796,0.062012389012044054,0.0959834900369474,0.010463911469848208,0.5712189550635168,0.1543434828030648,0.07872865320443474,0.0940010681534612,0.010283977318802663,0.4126805701898771,0.10472825652045853,0.0894321296161968,0.25167156491647513,0.05408405422919079,0.42326093775547485,0.10592334989980252,0.09960119891359574,0.2255025253077676,0.030297082447995012,0.3649013010455349,0.129928610080369,0.11597796032560549,0.2602385628804386,0.04539199281445412,0.3934800083571064,0.0510191769857105,0.04085437043223762,0.08895126595977952,0.014252296368599576,0.5105322851709957,0.12743562522690197,0.09262394593735665,0.15000691590002332,0.020919116150966637,0.601789019386136,0.1089766177405486,0.06964899034693313,0.08892970355449564,0.011501673058395993,0
0.6824729852450268,0.16266980025959993,0.10216086640845316,0.056232234601324316,0.0030930151767711534,0.8258744517547103,0.1051920614141025,0.03786672041660647,0.03737210247025113,0.0028165497013834485,0.5382863741951158,0.12777894109632285,0.1306041891313999,0.19037930332388375,0.015212822507319902,0.6208275600906126,0.17370056147084048,0.100525599703057,0.10272561818677173,0.01201299078127534,0.49118040946869956,0.12956725427091162,0.19598290706698604,0.17031229211753024,0.01678239653510174,0.6030417768058074,0.15263627769663254,0.1466150653944172,0.09027869669847075,0.007817004996038853,0.6708083990883954,0.15781082606273505,0.08135702059921764,0.09460609559863586,0.0074633817158174815,0.6467666241074579,0.18570731960721165,0.0850313925588194,0.07740282039275846,0.005185802529866513,0.676039832815492,0.16461197898326255,0.08033063830027977,0.08071187925452959,0.006648906392097284,0.6399242898644629,0.17214055461290392,0.09585778601545145,0.09077400605154687,0.006872457416224138,0.5741566348674305,0.11523724383303285,0.09314602514557814,0.19146123962627132,0.02777777664432857,0.5318055627973086,0.138352398407189,0.16392041297421722,0.15204844910377593,0.013714422207397478,0.5867271967440951,0.09956284160413076,0.08189723294334257,0.20530256595308183,0.020356113383259277,0.5540680578397396,0.13699527078396062,0.14177258329986764,0.14643211155124983,0.017376987953413765,0.8325983486977105,0.1247043765720153,0.018277330597673863,0.020442517150680063,0.0015851536166900972,0.6401055078146358,0.16399803876066113,0.0952187561618781,0.09428218625046833,0.005830058138984489,0
0.7559499918526655,0.13600440154946045,0.06408673623920673,0.055673210591978786,0.004187560109346701,0.7432450972844455,0.13944377858998794,0.07332280114224023,0.055554583857598316,0.0038572541167931165,0.5880921484497255,0.1272974831476121,0.14260344306622685,0.13948752103670334,0.010248725904198832,0.5488674875758603,0.13237240503525693,0.18183725844697465,0.13789380930124118,0.009387378436261851,0.5056433951936581,0.1018265566937893,0.21064445668356058,0.1701828035790697,0.013504472129757797,0.6571668978580476,0.11073044959867219,0.1224322708892598,0.1047722474912609,0.008065232482534497,0.526482001848242,0.11612032146431284,0.22297007359874202,0.13387685007627229,0.00815933098241827,0.5789970661005324,0.11594675491520133,0.15557010149175357,0.15026658545091082,0.010010025686744247,0.6506525021461143,0.1563156639215125,0.11661077182666159,0.08597082299703558,0.007020090597194973,0.5854404489062298,0.13329419349624105,0.1366943088659487,0.1483542998306654,0.011978437846612509,0.477434031127442,0.10170152809429255,0.15049310169093635,0.256798713909951,0.02147402376817944,0.48628558990382886,0.09276967974670722,0.18837522454776082,0.2133967761313085,0.02673578681412261,0.568514495690744,0.10828349120569375,0.15813494458855856,0.15509368846317625,0.013858094463785985,0.6021230891252461,0.10043424774087249,0.11642403009190036,0.16721131356014343,0.01633741076839337,0.5081052141965345,0.12386989409996639,0.21703077519797048,0.1550872582492865,0.009254611130845459,0.5033341550808659,0.1146310462658348,0.23441347099128237,0.15611327498322491,0.00838163146935067,0
0.7995775450434469,0.1310048177706812,0.05487931785339578,0.023553230585938213,0.00149210915911335,0.7993821672651088,0.12190927554657456,0.06271801220009045,0.024247496018536426,0.001628375231547355,0.6247663119182454,0.14870639538089372,0.11083655386744844,0.10133232090250299,0.00997646883838208,0.6364188232706789,0.14856617783570522,0.1395412973274147,0.06490831639679284,0.004308237339975862,0.5612539279594015,0.12709226029677154,0.20227404827828874,0.09805117633475037,0.006526776921825586,0.5970166021301577,0.1445240296933208,0.1806930174771895,0.06540552767086943,0.004366453908983046,0.7106470083357536,0.14245579656559168,0.08778290366808848,0.05168050861985064,0.003066996106786777,0.6760149086289361,0.1365009942503788,0.11847531707662173,0.05935235317270848,0.0038486590342198127,0.7147617640638488,0.13045450562942465,0.06609892988614201,0.08514621396825209,0.00797773265249644,0.6719644955188094,0.15378020681387994,0.08060846187710466,0.09525371426564759,0.009292406664555384,0.6687486032508979,0.11658643767761277,0.07950487225996351,0.10932988041137244,0.008909869849242417,0.6818374120900588,0.13390751019632,0.08453373746207031,0.08471147291400699,0.0067836680670320315,0.6062547082118053,0.11950775336352035,0.0760899738425811,0.1717457816420158,0.019347923637582292,0.6657389092229592,0.11200006352654907,0.10134260206858435,0.10605292387927481,0.008451555416594874,0.7090681299450278,0.13044740165289137,0.08521638689602273,0.06441607002630761,0.003997714514660186,0.6809520972116389,0.12227353540023712,0.12156671422408821,0.06370643839799177,0.003912131960207129,0
0.6659318803410955,0.1453824321936363,0.12265802303732254,0.07774119965291909,0.004865960968160559,0.7057756695309527,0.13166528392019863,0.09735572114983514,0.07158906012021253,0.005354298426191017,0.4241206000045327,0.16118631517278834,0.24849651500350628,0.17717266992365388,0.012438794587319914,0.5971586728412812,0.14787590783225546,0.142227950182023,0.11479877714287591,0.008260521363980927,0.7309100213836712,0.060362794054721655,0.09163061090390075,0.04607835513413438,0.0040967364050150026,0.4229949931582477,0.13465766460656078,0.29663551610190203,0.15320621419846717,0.008523419747299083,0.8265980436407957,0.07607236278706125,0.037534477539112175,0.020832441844964234,0.0008535239052611327,0.5558576023515786,0.1526247200104982,0.17355629020952204,0.12493391976328004,0.007542336597198621,0.6072371851404376,0.1791104091419396,0.13114519097036778,0.09285535165605688,0.006022234200036749,0.6216256285521878,0.17008572229842778,0.12837818272791346,0.09006733675406466,0.007116277782858174,0.8145628696360483,0.0958376911481619,0.03919067530930993,0.038659619189039006,0.003561494562392629,0.30946047743413035,0.12451657754001988,0.26658484354976963,0.29093519495762893,0.025306211928121602,0.7267547195212554,0.12862308219835092,0.08196662189257252,0.0697795786775163,0.006143860315352453,0.64595714724072,0.1841177388933401,0.09518976839933821,0.0876320621535964,0.006865295211664258,0.5505835549347136,0.12314755274917785,0.2054322458152764,0.1203107774976553,0.005626656978009079,0.4722514006770044,0.14774595540983718,0.2409499976222929,0.15544101038639582,0.0075114238013272005,0
0.9001099406270833,0.08417708407203911,0.008599716604170264,0.00953868084383817,0.0010253061022655456,0.9053188606684536,0.08308359740343645,0.007466950410336103,0.005360946840365884,0.0005061398138835868,0.6389628346101114,0.12562508808273584,0.07870835972390156,0.1483360036602931,0.016260500289987136,0.7361190166393567,0.11134765881267131,0.06152576457176865,0.08155254164407208,0.007250471133734544,0.7394701884324841,0.1232706420165246,0.06107104859510966,0.08156438725655975,0.008969312970319818,0.7662456576463678,0.11309232351904124,0.049242973676679354,0.06774571142933344,0.007308893310839397,0.8223669625178586,0.10720426453457095,0.037534336465209775,0.0335398201024442,0.0031039119220671453,0.8268237729706157,0.10663251248574161,0.033346898809531914,0.03521532126258799,0.003711629327945085,0.8104256224799586,0.08943752199504276,0.059308346973396285,0.035296050104788056,0.002777590640021795,0.7877331295863769,0.09471225058407613,0.06435296115787685,0.046869441256801106,0.0045001962518121386,0.5469578511009511,0.14025053528418202,0.0852990505807664,0.21352661891750122,0.02472306225498836,0.4549798087068594,0.11043861712642343,0.08881579268944048,0.31476068932097406,0.0384453688561795,0.6587289056911945,0.11630112425955202,0.07651390396637271,0.1359120842911121,0.022505703780151612,0.5978318134221838,0.08800504748913042,0.04799072171823334,0.2355107713134936,0.0399803937738742,0.8189283554127627,0.08762152202942161,0.05623650016017036,0.03377188523671932,0.003531375492780584,0.7933491835857197,0.09408896510387953,0.032654335064120306,0.07162328547661392,0.009762219368253607,0
0.872053020800317,0.1338004744426871,0.010160889261013687,0.00410592356368577,0.00034201422734693107,0.8682508563571729,0.13513730424381382,0.011694864810245157,0.004886796022646236,0.0003245697609887886,0.6844514458030468,0.1089280323307124,0.046492225978196085,0.13731074944907573,0.018049246007915513,0.6446352256497055,0.12367493271103389,0.07532036900963039,0.13350978025931537,0.01623072014385536,0.6512979410948924,0.11603390386516423,0.04437566973431198,0.16879289504922884,0.019783380700719628,0.678229664340002,0.11110195334505589,0.04539831479231417,0.1478581186728121,0.02068423587299781,0.8124435988496603,0.10592189197666087,0.028841509990756863,0.04604320481984176,0.005283522566195744,0.8101794223508006,0.11482696156308961,0.02904483286907091,0.04808126471030352,0.0048449520018890605,0.8006459028361432,0.11514028735392486,0.03897933802906407,0.05051109445205313,0.003541396234828636,0.8096604426259345,0.11303771166032107,0.035766594113871855,0.04285176109514933,0.003081181643075396,0.6276067208552816,0.0617877125764599,0.044746411423311226,0.2283874983834626,0.025566791367823916,0.7011080899841314,0.06892616738040769,0.04187329972148247,0.13740189707953784,0.031954525831919094,0.641308409534435,0.09809696435082482,0.04809813093033608,0.19449215774543516,0.02119724834746419,0.7379541250973753,0.1064579255095826,0.03142536826601602,0.1197137609368432,0.011164814616790945,0.7222150408485547,0.11477733198996293,0.036226960614548706,0.118440568124771,0.015400711199266155,0.7653981363161257,0.10958776646680508,0.029244721014452826,0.09633048014959225,0.009109823601784212,0
0.6717810277961006,0.17496319873705493,0.04583538292134433,0.11604298362523498,0.016372315302540127,0.6007405983315157,0.1664312570306161,0.0558509584744034,0.17083425742836508,0.030680003247335965,0.3984727741314343,0.2004934556875796,0.14773642408316068,0.24893798077243534,0.03331730625714435,0.37342280627507846,0.15531294420540584,0.11510529027941745,0.3263817599396938,0.05320976811093802,0.32635448011248563,0.15722963881368826,0.1595963919057106,0.33778976352601586,0.04854220140873864,0.3549803229619658,0.1351343715681541,0.14330785175303898,0.34071762855373183,0.05261593530665269,0.4791040674657238,0.14745968053573888,0.10410178494430132,0.2528727057270244,0.036536524305946755,0.48247663067159563,0.17733249638852833,0.11047653400618371,0.22454628521543418,0.03153821688318061,0.507544175171229,0.16502632640799902,0.09307021501295838,0.2303318318139941,0.024485610901929272,0.4658364691712865,0.20003137002297353,0.12744980184327925,0.21291261578609533,0.022457389377748604,0.2101950389787269,0.11103574924939996,0.11605026440157662,0.5166645154377334,0.07088790924068901,0.21808990554223553,0.09524907935023785,0.11274041994537852,0.5152835996790862,0.07959151584954678,0.29552887101070857,0.1456010315016857,0.12228519972717049,0.4152807653145683,0.04362591822896609,0.2478924911440581,0.10511060749934142,0.13012099892152126,0.47368079985859163,0.06451414325550443,0.45358020093448137,0.13647483289116658,0.1019691158159384,0.2844258660817935,0.04161692403152767,0.46197359491589846,0.17349996131166975,0.10725072660819698,0.24626014784973946,0.03499037400449168,0
0.7045904121988938,0.11989995508224693,0.07427060820925224,0.10276545467159547,0.011135607112246487,0.6529841310107884,0.11142521674718224,0.09172407814195048,0.14023814735640588,0.008788273089823313,0.48187964518101695,0.22997299400916973,0.20071426725205166,0.10288278658692278,0.004829107038972753,0.45760958341102453,0.2179506460611142,0.20425258261344836,0.131327541889849,0.005989434696405921,0.3892637724002677,0.14885702753998922,0.3771219073625812,0.09124212268568288,0.003985347514895581,0.3140177005722484,0.09773288528776876,0.5083039655375573,0.08498007674408196,0.003864875854707632,0.5628810236847959,0.18545186324970686,0.16782547204631632,0.09357717557845413,0.003831269500496431,0.6476602997750724,0.16757806851640691,0.12138140850133577,0.0715147870822114,0.003021770903424082,0.6045159251368931,0.19679384469785519,0.09756802337623624,0.10112538208320491,0.006768453660248814,0.6596879361336783,0.2038960140641162,0.08846014562075738,0.06515971331134161,0.0034415216387448442,0.4933278833325949,0.15982524358341818,0.22079511326111434,0.12780972798427623,0.007884391160935736,0.45952362886239034,0.1534138960113917,0.2724322757747048,0.11938336118679631,0.006518790421485565,0.3936157872063983,0.13833333886511193,0.3765375831416759,0.09463123080047996,0.004968135257591289,0.4114329986996108,0.1326743665382594,0.3687509430609721,0.09532331689347741,0.0048277287427839315,0.5074736167721877,0.17585124050651552,0.2252363124214711,0.09599645784068803,0.004443333090131578,0.610891309407882,0.16282740130321144,0.15857916792800872,0.07438729464236007,0.0032290097775475794,0
