Fp1_delta_psd,Fp1_theta_psd,Fp1_alpha_psd,Fp1_beta_psd,Fp1_gamma_psd,Fp2_delta_psd,Fp2_theta_psd,Fp2_alpha_psd,Fp2_beta_psd,Fp2_gamma_psd,F3_delta_psd,F3_theta_psd,F3_alpha_psd,F3_beta_psd,F3_gamma_psd,F4_delta_psd,F4_theta_psd,F4_alpha_psd,F4_beta_psd,F4_gamma_psd,C3_delta_psd,C3_theta_psd,C3_alpha_psd,C3_beta_psd,C3_gamma_psd,C4_delta_psd,C4_theta_psd,C4_alpha_psd,C4_beta_psd,C4_gamma_psd,P3_delta_psd,P3_theta_psd,P3_alpha_psd,P3_beta_psd,P3_gamma_psd,P4_delta_psd,P4_theta_psd,P4_alpha_psd,P4_beta_psd,P4_gamma_psd,O1_delta_psd,O1_theta_psd,O1_alpha_psd,O1_beta_psd,O1_gamma_psd,O2_delta_psd,O2_theta_psd,O2_alpha_psd,O2_beta_psd,O2_gamma_psd,F7_delta_psd,F7_theta_psd,F7_alpha_psd,F7_beta_psd,F7_gamma_psd,F8_delta_psd,F8_theta_psd,F8_alpha_psd,F8_beta_psd,F8_gamma_psd,T3_delta_psd,T3_theta_psd,T3_alpha_psd,T3_beta_psd,T3_gamma_psd,T4_delta_psd,T4_theta_psd,T4_alpha_psd,T4_beta_psd,T4_gamma_psd,T5_delta_psd,T5_theta_psd,T5_alpha_psd,T5_beta_psd,T5_gamma_psd,T6_delta_psd,T6_theta_psd,T6_alpha_psd,T6_beta_psd,T6_gamma_psd,Fp12_delta_psd,Fp12_theta_psd,Fp12_alpha_psd,Fp12_beta_psd,Fp12_gamma_psd,F34_delta_psd,F34_theta_psd,F34_alpha_psd,F34_beta_psd,F34_gamma_psd,C34_delta_psd,C34_theta_psd,C34_alpha_psd,C34_beta_psd,C34_gamma_psd,P34_delta_psd,P34_theta_psd,P34_alpha_psd,P34_beta_psd,P34_gamma_psd,O12_delta_psd,O12_theta_psd,O12_alpha_psd,O12_beta_psd,O12_gamma_psd,F78_delta_psd,F78_theta_psd,F78_alpha_psd,F78_beta_psd,F78_gamma_psd,T34_delta_psd,T34_theta_psd,T34_alpha_psd,T34_beta_psd,T34_gamma_psd,T56_delta_psd,T56_theta_psd,T56_alpha_psd,T56_beta_psd,T56_gamma_psd,Class
0.8404850526761004,0.11001546503653709,0.01512245811008357,0.0068525595191141295,0.00043378313333448427,0.7167343339025851,0.17835751267739672,0.046202430294746945,0.03613784523300013,0.002511886696709629,0.6408152604909347,0.16036980744502147,0.0977002158552094,0.06740510396961105,0.0038330012502175758,0.6250131974861521,0.16233511243975987,0.09834486734919105,0.08467649310104203,0.005219158449128501,0.5528564071710331,0.15130005957591594,0.1782052432245767,0.08734116810627708,0.00485062342127933,0.5327734253171971,0.16617143504782866,0.16400053693674257,0.11451859240978668,0.006365673039951556,0.531998733332194,0.1444866519271592,0.20434315633608768,0.09093219539364615,0.004131871310753394,0.4770656035926651,0.16420779151892034,0.20629022123887536,0.1313288197676526,0.006316294834145664,0.739984127640556,0.11567256748557758,0.046735401566472164,0.04116937901001494,0.0027426437272760748,0.7316060683843727,0.17705473685768358,0.01794585374541015,0.007818425340520123,0.0004642093852959311,0.6301979427678773,0.15480271656052905,0.1092999272772179,0.07519084651340137,0.005190359714849125,0.5077914525766519,0.16639872161138397,0.11143903359111983,0.1832508661055938,0.01578281362682869,0.5568968803723958,0.16571944690545992,0.16724003841627222,0.07324922844445751,0.004124046964955184,0.520904294734468,0.17911608104522614,0.14590027251469007,0.12776836751687315,0.009467464039365499,0.5053570708301067,0.1561899716742689,0.216206659849575,0.0957891562578177,0.004998739025155445,0.5926429365973969,0.16022962728197965,0.13126987267692247,0.08969056339842152,0.0043368829442035,0.12375071877351529,0.06834204764085963,0.031079972184663372,0.029285285713886,0.0020781035633751447,0.015802063004782596,0.001965304994738404,0.0006446514939816572,0.017271389131430975,0.001386157198910925,0.020082981853836057,0.014871375471912723,0.014204706287834129,0.027177424303509598,0.0015150496186722255,0.05493312973952896,0.01972113959176114,0.0019470649027876763,0.04039662437400644,0.00218442352339227,0.00837805925618329,0.061382169372106,0.028789547821062012,0.033350953669494816,0.0022784343419801436,0.1224064901912254,0.011596005050854924,0.00213910631390192,0.10806001959219243,0.010592453911979565,0.03599258563792784,0.013396634139766217,0.021339765901582153,0.05451913907241564,0.005343417074410315,0.08728586576729014,0.004039655607710746,0.08493678717265252,0.006098592859396179,0.0006618560809519445,0
0.6938485267148811,0.12107344639754922,0.028362631060420654,0.028828332711277823,0.0031555163245823867,0.6911194972729573,0.11547260244949686,0.02395873283622453,0.03530141447371974,0.0043658598760404005,0.6042183801932236,0.10287472785989653,0.05079771379825385,0.08912856120521741,0.0081850740377617,0.5925140872565453,0.14525048109562505,0.047436814409292864,0.07373536769554696,0.008762396108199856,0.3827401252965834,0.022008420180901066,0.010649797236794475,0.014066607714075245,0.0017060294545273604,0.5359401866431552,0.14602933756800124,0.06675451092100577,0.10847110395502542,0.013844510829186318,0.5327766873719952,0.14566032068717333,0.08944074776637788,0.10819323001722025,0.01137144258747092,0.5091061118119168,0.14597099220620308,0.07747075487632628,0.11232111915904847,0.013916682070396149,0.4745831905249456,0.14458879594119609,0.09349952324534376,0.1367274969934473,0.014434170239701763,0.413763397634652,0.18503547162272002,0.09261071219511977,0.16001054788315291,0.01983958459415705,0.5473148787160346,0.11451373752158125,0.053380803821089694,0.1280702661370904,0.023635614066729337,0.5429800803178177,0.12812801797405082,0.054159855712347674,0.12309236546046903,0.01577182821130374,0.5337191097304923,0.12761923361545482,0.06935416114047918,0.13702016732996886,0.022544326012077096,0.41215573808478295,0.08779468659304528,0.043710165839829736,0.10174793586800138,0.014224048890731842,0.5465273260120311,0.14682728200712528,0.08543920210254723,0.1114796458195513,0.014058395398677329,0.5083826076101383,0.1367079596005939,0.06623576303411997,0.10341078325783058,0.01284602717765647,0.0027290294419237693,0.005600843948052353,0.004403898224196123,0.006473081762441917,0.0012103435514580138,0.011704292936678296,0.04237575323572852,0.003360899388960989,0.015393193509670444,0.0005773220704381552,0.15320006134657183,0.12402091738710017,0.0561047136842113,0.09440449624095018,0.012138481374658958,0.023670575560078455,0.0003106715190297482,0.0119699928900516,0.0041278891418282115,0.002545239482925229,0.0608197928902936,0.040446675681523936,0.0008888110502239949,0.023283050889705614,0.005405414354455287,0.0043347983982168214,0.013614280452469568,0.00077905189125798,0.004977900676621377,0.007863785855425597,0.12156337164570935,0.03982454702240955,0.025643995300649446,0.03527223146196748,0.008320277121345254,0.03814471840189282,0.010119322406531378,0.019203439068427253,0.008068862561720722,0.001212368221020858,0
0.6849004911364264,0.1526782111496969,0.06220477743886522,0.061685513310190565,0.004354793579527759,0.8430820895148288,0.08642753630518757,0.01827170551458682,0.017939946352756267,0.0019792705628028195,0.5179306538548923,0.14853038104440078,0.12044424055569308,0.16953092638397893,0.013923188587717964,0.6502421806112049,0.14111157364453122,0.07107243620218193,0.094894164658489,0.010680459602674226,0.4900773887370197,0.14489110237160502,0.17715995591499173,0.15043193127354518,0.012233631081769517,0.6348808459044663,0.1251340073179531,0.11089859683979356,0.08900910222420377,0.008509411846450127,0.6014874104108132,0.14937226063843093,0.10820557296255782,0.10511218386868532,0.0076064935814772585,0.6808923942120934,0.12175743063836945,0.07602106124327343,0.07766261087706738,0.006911536314432472,0.663263255144804,0.13840895081766275,0.05959062783531042,0.08830527055308403,0.0068184260667365605,0.739295682776934,0.09437895725671402,0.04119559530271842,0.07456545481109413,0.006606811667251317,0.5984401613434649,0.13678705488368714,0.09349118976049285,0.12147299950987667,0.011854666402449032,0.6086474485421565,0.11741866589277604,0.10561331685427419,0.11834694722546918,0.01253564651017437,0.5933477535466086,0.12975513426701618,0.10101422114462177,0.1243625619655215,0.011274989855990259,0.6342502266765933,0.10839316067178817,0.09733006240261684,0.11402631094666679,0.014482857327057135,0.8003298393727636,0.0929480545633616,0.02137622282069762,0.023839032035241944,0.001741331466945811,0.6908991871957384,0.11078918250380367,0.07222963067723837,0.0824250355113707,0.007553531731556876,0.1581815983784024,0.06625067484450933,0.043933071924278394,0.0437455669574343,0.0023755230167249396,0.13231152675631253,0.007418807399869554,0.049371804353511156,0.07463676172548993,0.003242728985043738,0.14480345716744653,0.01975709505365192,0.06626135907519817,0.061422829049341404,0.00372421923531939,0.07940498380128014,0.02761483000006147,0.032184511719284395,0.027449572991617932,0.0006949572670447868,0.07603242763213003,0.04402999356094872,0.018395032532591997,0.013739815741989903,0.00021161439948524322,0.010207287198691573,0.019368388990911103,0.01212212709378134,0.003126052284407488,0.0006809801077253385,0.04090247312998463,0.021361973595228012,0.0036841587420049365,0.010336251018854714,0.003207867471066876,0.10943065217702519,0.01784112794044207,0.050853407856540744,0.05858600347612876,0.005812200264611066,0
0.7421240169021129,0.15032178337821006,0.04543581723738328,0.03506140048885383,0.002491442487713148,0.7347775852894616,0.13049594589683772,0.04875153108848349,0.048461825832692915,0.00433887652332898,0.6208225623887648,0.16186934468140451,0.10917116939681412,0.07659855087491622,0.005091499421072691,0.6488633028175872,0.11659361237981436,0.09537107423642573,0.08691193857062889,0.007299418748624535,0.5319869069441899,0.1565031223987558,0.19418224728731287,0.08984421239758685,0.005807957193810677,0.6415506050659082,0.0986846610719493,0.11659493602373865,0.0904536746507485,0.0071742821513964,0.46598362458035736,0.15199906500663973,0.25314585020602737,0.10201368629515103,0.0044375793975338345,0.5852562648435172,0.09725581615536152,0.13856631773451594,0.1229835386624247,0.00912768740325644,0.6452306631937342,0.12208048078605377,0.10243101301926825,0.08215592581360583,0.005801148454417234,0.5271720460774444,0.07782074665608911,0.128787778924971,0.2046926197545629,0.018073552481573198,0.5495111919196551,0.15526514776691952,0.1252911961951526,0.1380317758013592,0.01067342217077427,0.629207538715613,0.09977212648122452,0.09741704359165589,0.11421445916537508,0.014057012821673622,0.4963322213161071,0.16683907519161395,0.1977491069330046,0.10718186930970511,0.010181031771802542,0.6366703083350899,0.08413942423350404,0.09517827641408932,0.1169705650684316,0.011454020658125398,0.47214362295718315,0.15377750883832994,0.23998162343857685,0.10466446810663661,0.004859476883230741,0.5576972863870123,0.09917107380940489,0.16511952731952403,0.1245881232646439,0.008628578185739354,0.007346431612651361,0.019825837481372344,0.003315713851100209,0.013400425343839083,0.0018474340356158321,0.02804074042882243,0.045275732301590155,0.013800095160388395,0.010313387695712661,0.002207919327551844,0.10956369812171829,0.0578184613268065,0.07758731126357422,0.0006094622531616495,0.0013663249575857237,0.11927264026315987,0.05474324885127821,0.11457953247151142,0.020969852367273667,0.004690108005722605,0.11805861711628984,0.04425973412996466,0.026356765905702753,0.12253669394095708,0.012272404027155964,0.07969634679595783,0.055493021285695,0.027874152603496724,0.023817316635984118,0.0033835906508993523,0.14033808701898276,0.08269965095810991,0.10257083051891527,0.009788695758726498,0.0012729888863228563,0.08555366342982917,0.05460643502892505,0.07486209611905281,0.019923655158007286,0.003769101302508613,0
0.8383003502216663,0.09211900656181503,0.018290799499084603,0.011439513028502865,0.0008080389633447995,0.8299800277125647,0.09873569762453124,0.02407943107985167,0.013925716709629372,0.0008837737508143318,0.8087648569136611,0.07938980861990284,0.025675973182165433,0.028101684234997468,0.0025833889004055056,0.7754286097011585,0.10538197155284207,0.04051491937722422,0.027564717579320535,0.001634286149506399,0.7692893052118881,0.06798202076218449,0.06571920581406374,0.03439955292029475,0.002148554770373685,0.7292482307109233,0.09616674788721949,0.08135261057787133,0.03488313647054329,0.0017981404197165627,0.7948607339348996,0.06765078356478962,0.04584867450597534,0.026811791152748878,0.0016446231404904372,0.7309514722794155,0.09117687666441054,0.073696393495987,0.038456270238419424,0.002063736251064447,0.8076891680025022,0.046581870739249055,0.028005629873154823,0.04725512423224269,0.0050199925663326345,0.7156575527819887,0.07666649874339952,0.05225769717374589,0.0778790854570753,0.00774614966527835,0.8199153340193984,0.06300133433329888,0.024602985479250994,0.027473929691810933,0.0025036983491799358,0.7869254105884546,0.08897285985878554,0.03747024223930724,0.030555020722931675,0.002154988448616527,0.7998458721447023,0.05281659983705901,0.03030771962442147,0.04586788199988395,0.005274649123192783,0.726144314508754,0.0906092747626511,0.06579342475052183,0.05348787687215409,0.004005343598266718,0.8044540043324464,0.0586621019124817,0.03956752403852809,0.027934791268140392,0.0018738382968798717,0.7236601739552629,0.08951839738903472,0.07870985868546836,0.04175981066367419,0.0022559283854781203,0.00832032250910153,0.006616691062716215,0.005788631580767065,0.002486203681126507,7.573478746953233e-05,0.03333624721250261,0.025992162932939225,0.014838946195058787,0.0005369666556769327,0.0009491027508991066,0.040041074500964835,0.028184727125035003,0.01563340476380759,0.00048358355024853694,0.0003504143506571223,0.06390926165548416,0.02352609309962092,0.027847718990011663,0.011644479085670546,0.00041911311057400984,0.09203161522051351,0.030084628004150467,0.024252067300591068,0.030623961224832602,0.0027261570989457152,0.03298992343094387,0.025971525525486663,0.012867256760056248,0.0030810910311207425,0.00034870990056340857,0.07370155763594821,0.03779267492559209,0.03548570512610036,0.007619994872270136,0.0012693055249260654,0.08079383037718346,0.030856295476553018,0.039142334646940266,0.013825019395533801,0.0003820900885982486,0
0.6873585349856693,0.15241987463770643,0.06820268305340922,0.06626762872036364,0.004902832398450557,0.7007271853448066,0.1393621381539246,0.06056845574181652,0.07095401741600355,0.005992903388268455,0.5084497561476823,0.16059920975569153,0.1887174628771574,0.11710614880988023,0.00885904602424674,0.5719733750021986,0.15427390444557346,0.1316437624596291,0.11395647503733794,0.00856850070138264,0.5931395241434023,0.10010331445112268,0.15319796478906705,0.05371476060773945,0.003657551978073535,0.4309911103885249,0.15732592466842749,0.2623118190215131,0.1259949420135857,0.007108092958917007,0.7358332562399456,0.0830430483094041,0.05821434721989361,0.025999808986077427,0.0010479154694801659,0.4430329606012601,0.17095137811901956,0.23159442325529328,0.13112781145915192,0.007482410217387964,0.5018567970587254,0.1765346300865878,0.15201046782934471,0.12700939437214545,0.008195615979340445,0.40525156872500184,0.1347954196735148,0.20341555429684893,0.21098241307505805,0.018176328688108805,0.7047114419745922,0.1088827463627315,0.0604582057845988,0.04870443517534521,0.0046209930789703115,0.438429798495112,0.14393924662386753,0.19301699718604937,0.1932324570474705,0.015891252266287993,0.773052258719052,0.10758020351196042,0.057230532324532665,0.04664695990350223,0.0047728657502169,0.5980146604017308,0.16664844082472646,0.11748273192116325,0.1003905336605087,0.006970368368608194,0.4511068749233157,0.1613486583432786,0.2505725683687774,0.1022108126868787,0.0049297765863591785,0.3948255374804407,0.16849112390769455,0.261161261629152,0.1505331091279865,0.008366407990492012,0.013368650359137257,0.013057736483781834,0.007634227311592703,0.0046863886956399065,0.001090070989817898,0.0635236188545163,0.006325305310118073,0.057073700417528295,0.0031496737725422858,0.00029054532286410147,0.16214841375487743,0.057222610217304806,0.10911385423244607,0.07228018140584624,0.003450540980843472,0.2928002956386855,0.08790832980961547,0.17338007603539968,0.1051280024730745,0.006434494747907798,0.09660522833372359,0.04173921041307299,0.05140508646750422,0.0839730187029126,0.00998071270876836,0.26628164347948025,0.035056500261136034,0.13255879140145058,0.1445280218721253,0.011270259187317682,0.17503759831732124,0.059068237312766045,0.060252199596630585,0.05374357375700646,0.0021975026183912935,0.056281337442875,0.007142465564415945,0.010588693260374593,0.048322296441107804,0.003436631404132834,0
0.8828358606131795,0.07639840980155697,0.006972268094282909,0.005811512599715115,0.0005565489691506017,0.8866768597024915,0.07508309806400726,0.0056244094017207525,0.0038005516040728856,0.0004305251309227104,0.8244978451297087,0.09294121151453436,0.022346750474812303,0.02814131556803893,0.0025498311109622635,0.8449400775632344,0.08371894578074685,0.01651916317695785,0.022566249559977648,0.0024338088156687825,0.7200063667710328,0.1279123563224248,0.05646297769216512,0.060385879886976565,0.005212407218278899,0.7140145634639468,0.11666302929470838,0.04994571352860755,0.0798113326040655,0.009601021826434492,0.6471807532661489,0.15617433157524951,0.0847179107971045,0.0707650856153536,0.005013780719449029,0.6282731261498331,0.15018039107462808,0.08058029939662711,0.10621604377011624,0.012526876375279014,0.595861377263533,0.13868882152673082,0.13073116452457914,0.09198831663638958,0.006103941402809578,0.4718523693962675,0.13892588259035366,0.17229756438492413,0.1747352534124031,0.01900778961301373,0.8102648046195579,0.09116881973818731,0.02451192094860396,0.03958555304399571,0.004135598018448716,0.7512887751339294,0.08323777719197135,0.031147956193322446,0.0932660861357325,0.012831015168607993,0.6945009645849259,0.10963464287644024,0.05733967068510972,0.09367297605420304,0.013426858631131277,0.47516222223550675,0.081749300350973,0.06027774862094652,0.310657108944523,0.05397630854868776,0.699381514096042,0.11426301073730427,0.08313549057048371,0.06188556109624301,0.005838207543451355,0.5510195949268474,0.11496702651206961,0.07362630684075357,0.20757460614328485,0.030507337922534856,0.003840999089312014,0.0013153117375497153,0.0013478586925621565,0.0020109609956422293,0.0001260238382278913,0.02044223243352572,0.00922226573378751,0.0058275872978544516,0.005575066008061281,0.00011602229529348099,0.005991803307086041,0.011249327027716402,0.006517264163557572,0.01942545271708894,0.004388614608155593,0.018907627116315773,0.005993940500621436,0.004137611400477387,0.03545095815476264,0.007513095655829985,0.12400900786726554,0.00023706106362283985,0.041566399860344994,0.08274693677601351,0.012903848210204152,0.05897602948562841,0.00793104254621596,0.006636035244718487,0.053680533091736794,0.008695417150159278,0.2193387423494192,0.027885342525467247,0.002938077935836801,0.21698413289031993,0.040549449917556483,0.1483619191691946,0.0007040157747653375,0.009509183729730142,0.14568904504704183,0.0246691303790835,0
0.850499422066609,0.11769979189074438,0.0087749729181283,0.004856471638778632,0.0004446785490606549,0.8470590260875069,0.12111048505740082,0.00988504683479528,0.007182105659810494,0.00046224013319341424,0.7925815837956327,0.10703581346713778,0.019419676677440306,0.04287533564801956,0.004906548275033339,0.7725462714414699,0.12141874581990397,0.02651922107389648,0.05760789159749792,0.0057064326614975095,0.7281484231432074,0.09967717554515172,0.03146843557432682,0.08762673145490497,0.009233941734195733,0.6554959047391167,0.1166571997691417,0.04418714021803289,0.15037523704741743,0.016840634213410765,0.732996521603257,0.0938133042668991,0.03578800155426905,0.07143532495023615,0.007526797161279635,0.597523658973062,0.11616384746871591,0.06508161740070093,0.18766051945514495,0.016831465642167795,0.6836391489975071,0.08768315635138745,0.05929432870653125,0.08939356141955607,0.008383618104984308,0.5444800664705634,0.09031970693539679,0.10517624984319117,0.2016312656250991,0.01616970728847655,0.7840114010784631,0.0910861641169965,0.0192579118858891,0.05908946797136508,0.005275614722364753,0.7935058059329604,0.1049816189113018,0.023325016750173046,0.049153206071864866,0.006593950313754422,0.7633735578846735,0.08136873909223422,0.026344326896055238,0.07219960245751325,0.006649288079940185,0.7232680227117633,0.11016438822528299,0.04652143406294256,0.08572329033283276,0.010939918404079584,0.6918751622778362,0.09131792019529991,0.037009227273948536,0.11411499527833907,0.013498760347197726,0.4951439592836766,0.10633671680452231,0.06655700501281875,0.29300194933432494,0.02483420514237072,0.003440395979102062,0.003410693166656445,0.0011100739166669798,0.002325634021031862,1.7561584132759337e-05,0.020035312354162782,0.014382932352766192,0.007099544396456173,0.014732555949478358,0.0007998843864641704,0.0726525184040907,0.016980024223989976,0.012718704643706072,0.06274850559251245,0.007606692479215032,0.13547286263019498,0.022350543201816814,0.029293615846431878,0.1162251945049088,0.009304668480888161,0.13915908252694376,0.0026365505840093423,0.04588192113665992,0.11223770420554302,0.007786089183492242,0.009494404854497263,0.013895454794305304,0.004067104864283945,0.009936261899500212,0.0013183355913896693,0.04010553517291027,0.028795649133048773,0.020177107166887323,0.013523687875319504,0.004290630324139399,0.19673120299415958,0.015018796609222396,0.029547777738870212,0.17888695405598587,0.011335444795172995,0
0.7018854254322628,0.16246134524665762,0.03221202236468872,0.07281546613203274,0.011283306075234008,0.6510474893068922,0.15916607562001944,0.03974358236125461,0.11232833824097914,0.019406223941537307,0.5582030618547807,0.16110497791206893,0.06505527953858566,0.16846779206424428,0.0287152999615202,0.5577410705077267,0.15321907333669024,0.05944862061240852,0.18297859166372674,0.029255765381341548,0.471145273546495,0.13145086183852725,0.0819026469002997,0.25735559199892477,0.04310786630515327,0.5032688419419642,0.1338987335587217,0.08827326756963805,0.22797831163837287,0.03168266214589082,0.41629800542859446,0.12215679180501297,0.0940877857932411,0.30025623463973616,0.05229020645066264,0.4637956551384728,0.14077591547229742,0.10659473561586792,0.24296934200693143,0.031710363448750854,0.372814753929028,0.10967579810981647,0.11416686666617876,0.34487829607064574,0.048053220928630395,0.3402788003752325,0.1672690144739341,0.15777823469919197,0.2953701506109861,0.028988326982106728,0.47180642651852084,0.11710081860327896,0.056988093668488046,0.2952498076897303,0.04630838761979386,0.507617044747035,0.11873254039222134,0.06037581584115735,0.2604829390387719,0.03828778738173162,0.3382550846848349,0.12134294922282808,0.08756448356934536,0.39266436243137043,0.04858616380667912,0.39517973500456216,0.09814201229301976,0.09221201630777949,0.35960895259548664,0.043941938522386176,0.42337002205029206,0.10624448466617821,0.08436827458372265,0.3162095436679974,0.05529036809979495,0.4378780431473478,0.12976935098155468,0.10561466684047453,0.2767122403541845,0.03639028475401774,0.050837936125370686,0.0032952696266381754,0.0075315599965658925,0.0395128721089464,0.008122917866303299,0.0004619913470540471,0.007885904575378688,0.0056066589261771355,0.014510799599482455,0.0005404654198213482,0.032123568395469204,0.00244787172019445,0.006370620669338342,0.0293772803605519,0.011425204159262452,0.04749764970987835,0.01861912366728445,0.012506949822626817,0.05728689263280473,0.020579843001911784,0.032535953553795516,0.05759321636411764,0.043611368033013215,0.04950814545965965,0.019064893946523668,0.03581061822851411,0.0016317217889423724,0.003387722172669305,0.034766868650958405,0.00802060023806224,0.056924650319727266,0.02320093692980832,0.004647532738434129,0.03305540983588379,0.004644225284292945,0.014508021097055734,0.023524866315376466,0.021246392256751886,0.039497303313812904,0.01890008334577721,0
0.7386835210794173,0.1286434106680117,0.03322940048607803,0.06689171415297743,0.0068593154843076525,0.722207485259512,0.1182150036215669,0.0354358628446991,0.08401260265478472,0.0049964641809758055,0.5740506843288172,0.24243615053768716,0.09197864121978566,0.0680677796470188,0.002568119593452423,0.6112567834926879,0.20914476209288044,0.077936820396041,0.0703897936067116,0.0030048012256398155,0.3994784605796236,0.21032229857535115,0.2889088784869771,0.08353233373100127,0.0029566906617773323,0.4109554380531677,0.1531590602975464,0.33601427153466756,0.07168891639690449,0.0031351704323289323,0.44417361246566445,0.23070386944354793,0.21092333263245677,0.09613625679567989,0.0035593202496091015,0.5631146733613669,0.17229071046177372,0.15978859530151127,0.0711659252335141,0.0035110475477352072,0.47588803097375887,0.17939638885382034,0.13662788603244544,0.16837963910096063,0.012621771544835113,0.6678859183160436,0.13056180214607682,0.07512943370341921,0.07867778292847644,0.006186918880640172,0.5937453901952009,0.193328612777679,0.11354788995343403,0.07268521821537308,0.0036718552064696113,0.576933268316188,0.1539614907968291,0.1571966696672642,0.06626987649721915,0.003404376725339019,0.43712252074499225,0.19418323174297417,0.2706424895164124,0.08010116518885427,0.0034537843186596816,0.4772590881918021,0.139679363664018,0.2750261456316435,0.07283335952290237,0.0036190529948304287,0.4287131162021371,0.22292402672752085,0.23589675776815366,0.09483134226317107,0.003901311687901177,0.5568931502920891,0.15294997957999545,0.18436996195503305,0.06779226681664645,0.003390316607845457,0.01647603581990531,0.010428407046444793,0.0022064623586210697,0.01712088850180729,0.001862851303331847,0.03720609916387063,0.033291388444806724,0.014041820823744666,0.002322013959692809,0.0004366816321873927,0.011476977473544092,0.057163238277804757,0.04710539304769046,0.011843417334096787,0.0001784797705516,0.11894106089570244,0.05841315898177421,0.05113473733094551,0.024970331562165785,4.827270187389432e-05,0.19199788734228473,0.048834586707743516,0.06149845232902623,0.08970185617248419,0.006434852664194941,0.01681212187901293,0.03936712198084988,0.043648779713830174,0.00641534171815393,0.0002674784811305922,0.04013656744680988,0.05450386807895616,0.004383656115231116,0.007267805665951893,0.0001652686761707471,0.128180034089952,0.06997404714752539,0.05152679581312061,0.02703907544652462,0.0005109950800557201,0
