Fp1_delta_e,Fp1_theta_e,Fp1_alpha_e,Fp1_beta_e,Fp1_gamma_e,Fp2_delta_e,Fp2_theta_e,Fp2_alpha_e,Fp2_beta_e,Fp2_gamma_e,F3_delta_e,F3_theta_e,F3_alpha_e,F3_beta_e,F3_gamma_e,F4_delta_e,F4_theta_e,F4_alpha_e,F4_beta_e,F4_gamma_e,C3_delta_e,C3_theta_e,C3_alpha_e,C3_beta_e,C3_gamma_e,C4_delta_e,C4_theta_e,C4_alpha_e,C4_beta_e,C4_gamma_e,P3_delta_e,P3_theta_e,P3_alpha_e,P3_beta_e,P3_gamma_e,P4_delta_e,P4_theta_e,P4_alpha_e,P4_beta_e,P4_gamma_e,O1_delta_e,O1_theta_e,O1_alpha_e,O1_beta_e,O1_gamma_e,O2_delta_e,O2_theta_e,O2_alpha_e,O2_beta_e,O2_gamma_e,F7_delta_e,F7_theta_e,F7_alpha_e,F7_beta_e,F7_gamma_e,F8_delta_e,F8_theta_e,F8_alpha_e,F8_beta_e,F8_gamma_e,T3_delta_e,T3_theta_e,T3_alpha_e,T3_beta_e,T3_gamma_e,T4_delta_e,T4_theta_e,T4_alpha_e,T4_beta_e,T4_gamma_e,T5_delta_e,T5_theta_e,T5_alpha_e,T5_beta_e,T5_gamma_e,T6_delta_e,T6_theta_e,T6_alpha_e,T6_beta_e,T6_gamma_e,Class
0.8691965351408442,0.13445548896845866,0.015623666081201372,0.006827123109164934,0.000582582080575475,0.789916174634618,0.15093923750542282,0.0436479746003982,0.03090678043168762,0.0022112175570751474,0.6864772033341154,0.15780445165205884,0.09168718656618882,0.07092168227256887,0.005201611350199738,0.6831006743442114,0.15951985689249745,0.09357702732636652,0.07440408195168327,0.004790105297723991,0.5897354337088727,0.1502005899638613,0.17181037542711977,0.09973072120336471,0.006433975759677105,0.5618733273624896,0.17835091337338835,0.16430001275328934,0.11451839839566494,0.00642447323086827,0.5477134600364829,0.15675406786246404,0.1934529119237111,0.11420696127098762,0.006089885366135508,0.49689172191324615,0.1574111566753151,0.2274633511424551,0.13563305477639753,0.006485561224634663,0.6839219549510337,0.13222320403820023,0.0871958993824816,0.08484051020259363,0.006749346383195738,0.7210083487768076,0.24219539910564536,0.023989352074218224,0.010115516238380027,0.0006364803573087936,0.6769352379921744,0.14349016033727433,0.10574789086450012,0.07944037182929226,0.006495435060419993,0.5789611394811872,0.1751234559834413,0.10152005772241711,0.15270379788861518,0.014211554281145365,0.5902998801815957,0.18886677774598687,0.15307742005868838,0.08059641304031405,0.0051135126413432075,0.5234697201516375,0.2117284962552664,0.15405156328214084,0.1293259393240554,0.009376990926350519,0.5232181744350264,0.16093755858001507,0.20586420079709192,0.12177286876353503,0.006904896918807988,0.5941337316783163,0.2004002491952387,0.1315562064689513,0.08690659081190637,0.0042723172616833515,0
0.7242899458775469,0.1611335010500491,0.043494130762564504,0.07929478671243173,0.010418475673646557,0.6947883587716732,0.16219500878937068,0.04744656344427271,0.10340906017192905,0.00707178272240241,0.5463301540896056,0.31859244862124336,0.10455649314284954,0.06579913345970982,0.003044535647106009,0.5285705894671696,0.31502873767257134,0.10416726441527766,0.08021216252850698,0.0036089346377401275,0.44952695706707474,0.2846296868669909,0.22043421433382102,0.07648415823106729,0.0028822730344404955,0.3170827998296254,0.23161492837227063,0.3938124053573323,0.07946769461042286,0.0033209867651202577,0.4571044676387244,0.30436120866383404,0.17718526747769786,0.09506865535763953,0.0035784290290699606,0.4730181362080458,0.2709471842130713,0.19256025252823256,0.08425355711583739,0.00427629945188819,0.4803324112465439,0.20096209103757812,0.13698734194613768,0.18114575863938598,0.013615352628407039,0.5792002207802414,0.22318612544855043,0.11433025925588665,0.10334451498528512,0.008311786142319935,0.5609120976017856,0.27970384602544063,0.11956763287266954,0.06985236150197946,0.004301685530580447,0.5011987025019079,0.23878787531346826,0.21151140659502185,0.07141345623975352,0.004007168422531574,0.4312678482312995,0.2914637440663156,0.2303517477885504,0.07747822751809114,0.0039705070563724075,0.3648205978080898,0.21342729696041712,0.3563816632637327,0.08261222248770064,0.004099572803583842,0.4458560258433079,0.2973241235232585,0.19510269614273157,0.09603330790181261,0.00453483857615245,0.44659066170594075,0.24894909082102526,0.23992084524979337,0.08386170105012501,0.0042185701873682,0
0.7463928123672458,0.15688249787521563,0.035544441399965376,0.06859594258324186,0.0069688886466345145,0.7101012821005256,0.15776894982614176,0.04235910605455142,0.09818267571750032,0.0052402498892833785,0.5785650690465087,0.2766704344210593,0.10633584281552322,0.0636566220281071,0.002225509518991237,0.5357577742969485,0.2998061872345639,0.11084451017824076,0.08063187713188621,0.0035113994972436223,0.4071034525092845,0.2241508926281795,0.30808712584223297,0.07485961981708973,0.0033748577961595565,0.3063905322683345,0.20836929498519274,0.4179457869763769,0.08729844777621122,0.004084753206288987,0.4803002407283652,0.24661146039551377,0.20780750628545375,0.09218364556671484,0.004111779378900042,0.43306633109820686,0.26415104508658666,0.23074893605720817,0.10329475781423093,0.0054648360648727355,0.48613504401878826,0.18895131660619358,0.14626261165560608,0.18974363629336294,0.015624742297618163,0.43869939470340336,0.24868231646156969,0.15862474986415848,0.1738386197165185,0.0149188169928714,0.6173633966255652,0.19837898086180092,0.13055577900906407,0.06438076525796572,0.003004559775485439,0.4900820647272373,0.21720448812241103,0.2228367842456242,0.08312428077820831,0.004337924340646025,0.4784780024136109,0.19318683279731255,0.2741564902794567,0.06852050930986198,0.0035282214868072523,0.35895267793344104,0.1984663867257811,0.37242922235604176,0.09422167220322304,0.004763639619531577,0.4744378991901561,0.22951132459572707,0.2329181792398167,0.08744982125517678,0.004243662199023398,0.38579811237384065,0.2440978308091943,0.29358904656599244,0.1065721009082003,0.005547045016762372,0
0.7473722990036324,0.15001112889070836,0.038601805053545934,0.07487259499271151,0.007023474613683886,0.7095611565340707,0.15378272180697117,0.0452516011868485,0.10167924578332539,0.005913988897375404,0.5638681761934083,0.266810805688467,0.10955626695468768,0.08150371478879534,0.0031810459874371073,0.4990128775169289,0.3019581249717651,0.11533417297295528,0.11292298304328545,0.004566626494081502,0.4019328469791391,0.231342604278388,0.3001259284233471,0.09269909373047924,0.0032668548257206442,0.28082710704691505,0.19906552126341107,0.4413158587376723,0.10327893431226558,0.004446873858818931,0.47457716574065295,0.24128052766114397,0.2199456755603837,0.09881121885351112,0.0032765309237672165,0.4229918930052722,0.25019931711240073,0.24773531047548622,0.11397609448454914,0.00531435858465343,0.5257381575577919,0.17968406557884223,0.1419214267131172,0.15928663121082876,0.012632839318895661,0.43746290302757485,0.24410138628688743,0.16468811802334993,0.17643134252468237,0.013224365468815995,0.5974072533590203,0.20792871491075013,0.12515028001322032,0.08529509523059361,0.004638186883953694,0.44675760617820137,0.22886232098417392,0.2407567327834442,0.10923860958485396,0.005617600749807192,0.4471904845417581,0.2078402899891919,0.27954097275574946,0.09015106561448212,0.0035079580998834702,0.2876996513669528,0.20441113698146252,0.40876896896633247,0.12217614102790346,0.005862499035189701,0.451920084672619,0.23853599593714125,0.2410406555351623,0.09857188092091312,0.0035736280326721798,0.3645969858275988,0.2361602837165987,0.30507011327472533,0.12182417260068903,0.005884345582387675,0
0.7944292063110852,0.12422981660467217,0.03218918916888272,0.05486039727256932,0.005263245801970271,0.7798540339661794,0.10991386362350834,0.03459527182258033,0.0755301318274962,0.004716068646633159,0.6412773453447913,0.22733711987568272,0.08307380848027016,0.06675732153325042,0.002277946099000706,0.5620211979015597,0.25593637736356767,0.10771964452935538,0.09399719352217328,0.004189350272328096,0.3937927039263872,0.18855271389054667,0.3480506060865336,0.08961780313035687,0.0029802121945408356,0.26290550181521105,0.169188663457118,0.48139890252304657,0.10114978771548493,0.004280661475465157,0.4427804037597027,0.24610309873307923,0.251235874972031,0.10108990343017302,0.003625508259211433,0.4237385644546557,0.22497743620155056,0.26629251657316627,0.11071383735885248,0.004958942395745215,0.47709300483403255,0.21596780304154226,0.16541670519038126,0.165598712117396,0.012151664115592903,0.47940517471885724,0.19954207558978784,0.15927580431054644,0.15910223704734283,0.01258216139753213,0.6373042740438344,0.18662982336500641,0.11029961710481609,0.07829292705855243,0.003885370221721491,0.5243331491651254,0.1671024947557561,0.21497283325074634,0.09853358911748358,0.004897808182587271,0.43679649092162853,0.17009056597546324,0.3229607024610131,0.08788273395251345,0.003485801919144244,0.306534690428045,0.154669938718117,0.42591686515273924,0.11542923129635685,0.0059936113162731945,0.41137888427559544,0.22741889984984623,0.29298895560837096,0.10142331868642263,0.003905918906484346,0.35812280118777423,0.20371554224452207,0.3388011971167042,0.11529986105200138,0.005485854020558395,0
0.870594819050762,0.13658214983065314,0.015570395805721218,0.0061030466608230985,0.0003427199370527713,0.7733028407420396,0.18936544992112475,0.03583697730395688,0.026030680844684195,0.0016150056877435196,0.6803603189031778,0.18334525592016968,0.09139150116224182,0.057167051913495706,0.0028663574746385654,0.6705400198247947,0.19221037884850758,0.08656047138090456,0.07029844558602391,0.004170632543686892,0.5966107241859949,0.17547324780468065,0.17038632428385178,0.07928111549696618,0.003700652365959883,0.5878576230799814,0.1776056986575203,0.1616670115717663,0.09833459575441983,0.00503186421335773,0.5574106785228662,0.1623665542013472,0.21985163503833366,0.08327809147810136,0.0029680314114926445,0.49916929761385287,0.18444734066120255,0.20773794553952055,0.1362246264390666,0.0056698862836405805,0.7005147092603745,0.13319857304818256,0.08686342409864083,0.051990677969934077,0.0034769902293838814,0.8140386020868202,0.1408478917324446,0.013268524571568859,0.00610225550083768,0.00039965948351300043,0.6852819213943054,0.1663357350050542,0.0957537777970881,0.06470331050278375,0.004049968511661783,0.5615960164082019,0.194522033862994,0.11275396723478832,0.14579948014814667,0.013051422634649236,0.5840728952479362,0.16625577174763712,0.1862649349276889,0.07468482834434183,0.0038518751817942206,0.5773264435795171,0.18587462022596968,0.15068281424240326,0.10668306599676738,0.007492805677501311,0.5275857224254366,0.18200508348424296,0.22376810640156594,0.0880236184289404,0.003673318119033499,0.6255999816314999,0.1680714660664055,0.1407901847428552,0.08838449578812013,0.003789531917892947,0
0.6886149955064759,0.15912641876005154,0.05279374115353065,0.09595691972370587,0.0211476391544802,0.7770264819609957,0.14081186673026647,0.031012650264616463,0.058895686203499505,0.011255284731501296,0.5398377736949397,0.16145891792402847,0.08537466729895236,0.1973261628510533,0.04192444265130589,0.5777322717550454,0.18489192540551108,0.06697431488720285,0.16739493109153308,0.03157987871472391,0.6316877026272445,0.12238077306567532,0.0655650054367928,0.1622901785504248,0.03450452415197968,0.5153770357548881,0.18368263347528174,0.07270371004981516,0.2198918653325888,0.04403043324275407,0.5068327653630029,0.13101538138724989,0.08387403448462775,0.24611374380238452,0.05415104521071046,0.5311416539245228,0.15387257983968913,0.07519028686393896,0.21912483294103136,0.04358373289781795,0.5696774330820252,0.11822867137943686,0.08184032461921656,0.18879267279293996,0.03451573213916579,0.46769523839946237,0.1977975477456632,0.09880023338365662,0.2254786590836845,0.040066344921312606,0.4978205455056773,0.121246888580322,0.07244910562167764,0.2665613412249202,0.06457258837549217,0.4619528979461487,0.15321921902383553,0.06714468099353625,0.28155446250464017,0.0640721008899025,0.39545184641918,0.10049248825311705,0.08528585457668814,0.3527266676295232,0.08625793269802397,0.32203231926997933,0.11547269193817042,0.07843753821194402,0.4092037345713688,0.10051218429940387,0.44976402388551323,0.14776107453530848,0.08764502807959215,0.26928342498374086,0.06282637657508554,0.35119469151469074,0.13745791539053798,0.07966485056388976,0.3735874950307839,0.08664254433611936,0
0.7040472560316344,0.21373261927190923,0.04296449487048172,0.0596387542539754,0.00894583916669547,0.7397736685603079,0.2019340852371515,0.03270504710129844,0.04219035500364089,0.007655339037994217,0.5548225172298535,0.20433115648820302,0.07850945608282087,0.16917378975184266,0.02458002774811776,0.5899007122092733,0.20293734235317004,0.06231766542493355,0.14534813902340624,0.02630072002820976,0.5067414922601514,0.19081883928304694,0.0848218930957905,0.2148854224768161,0.032162625126640844,0.4773468507669314,0.20958353393506898,0.08618760577833731,0.21347886436255306,0.041528564437139745,0.4742989295552363,0.16934883446782617,0.0961305669446744,0.251016395356058,0.037518133991949164,0.45830131891852527,0.19052358082652093,0.09234077911124174,0.23877004499376314,0.04435454116271981,0.5835695111736118,0.14882931317364417,0.07535325695549423,0.19044591312322692,0.02383309144595739,0.45338927723397526,0.21258246854025162,0.10601095870105373,0.21574077508407827,0.03788121255700034,0.5308131324549202,0.15997367714682753,0.06774464185538977,0.22876381395628007,0.03780638578716558,0.4315093445357366,0.16111158359947925,0.07309470202894977,0.2940396994227901,0.06271085509204995,0.37876405163567395,0.1297071143382716,0.09059950828773514,0.3657437643037686,0.06008708838228896,0.27531233766057767,0.11007485075944212,0.09048696899287333,0.44590982495489956,0.09964330382687522,0.44164824615843545,0.14678793531270184,0.09574715705989044,0.29665388393835035,0.044423305584466936,0.3187625679739145,0.13858873875230174,0.09837515233267874,0.3872787303276474,0.08025708859376374,0
0.6985965933524948,0.19345563085607873,0.04374288431003094,0.08048888398618884,0.013051294363482525,0.7375684109730042,0.187204420686627,0.03637182834740562,0.0535540370025774,0.011187076039454472,0.5399762947612515,0.19802663694590136,0.08064038355211706,0.18554282654884377,0.029271050063634205,0.5334969011309146,0.22401849713950828,0.07940422005763018,0.16164221647215468,0.03401583720629729,0.5075581412609271,0.19129268951014333,0.08255866191203709,0.21656629499929517,0.035666150620311955,0.4797343674905625,0.200701666924073,0.09177351760436285,0.2152654255968209,0.04667986517470039,0.4670642600814477,0.1780185739592978,0.10001438979274292,0.25086446098331094,0.04070741959465136,0.4838600883340562,0.20098413511202315,0.0886916817505394,0.2105402506313017,0.04508380186706421,0.7768181731505821,0.06808185816883416,0.04296344121353656,0.08600074936144556,0.012728441791143633,0.43028500715362605,0.23362118163068307,0.10317889271777177,0.21237450884846878,0.04013216135859488,0.4830386980576977,0.1583498747893381,0.07209151658733788,0.26804662259469414,0.0472174711628455,0.42789735713187044,0.17783323945686388,0.07762921280163435,0.2853053144409722,0.06460582816721615,0.375877721522058,0.14517552542360143,0.09009603880111615,0.35789994111636797,0.06207409699517402,0.28324079083797643,0.1285537101352604,0.08428660003228448,0.4323769395127106,0.09854970575637412,0.44371864274882633,0.1555010741710032,0.09304369564305144,0.29083704958677126,0.046363242788787555,0.32181614955205073,0.1675097559912942,0.08881659739404904,0.371324626952057,0.0831284735685519,0
0.6886322535677004,0.17030890324517256,0.042258279111720504,0.10511173954780521,0.01857848263807123,0.7219899342943585,0.1774231895001421,0.03617581616433931,0.0700428526394631,0.013825128432681964,0.5345750265985354,0.17221255240101652,0.06976234250580195,0.2141073907124097,0.03736521109742682,0.5358022178120686,0.19245165119613403,0.06648499318541096,0.18974717863520094,0.037611289839400416,0.4716358511365569,0.1670273941073971,0.08219168213376975,0.262780977765051,0.04695050814939798,0.4662415892241323,0.17870325333479242,0.08312093616101533,0.2449046392471084,0.05031125195217119,0.43069320794771965,0.16173526590806392,0.10200858627563614,0.2865824336077911,0.051679660697270834,0.4561948285250232,0.18452990444698833,0.08829112669291948,0.24777073428728758,0.05067798115928339,0.4424340021654005,0.17345066475692883,0.11023502891033118,0.2608026961427335,0.04263292215094344,0.4379502893658612,0.22782410659557464,0.10450974308518293,0.21826822941892518,0.04116456540493664,0.4431543433821374,0.13138276959582915,0.0714336086681386,0.3105798622173762,0.06783961726207666,0.41752398933218393,0.13627113558428947,0.06730736429787396,0.32522877892161284,0.07443424047889965,0.3374455140302356,0.11490512199399856,0.08492342437903078,0.4004107879726039,0.08806411825571854,0.2599466525389763,0.10938738622922332,0.07940435432339982,0.4677727597041299,0.10152999414460365,0.40849191981416355,0.13910858369736967,0.09808946300381244,0.3161041428929043,0.06133830064235847,0.29888519726701673,0.1382269175830793,0.08587373724121147,0.4160588564386236,0.08395584994791372,0
